,Title,Location,Company,Salary,Description,Link,apply Link,date
10,Python Developer,"Vijayawada, Andhra Pradesh",Try Logic Soft Solutions Pvt Ltd.,"₹18,708 - ₹86,977 a month","Job SummaryWe are recruiting Talented freshers and experienced personnel on various domains for our Training cum Development Division (TAC [Trylogic Academic Concept]) which focuses cater the realistic needs of academic project guidance to professional course pursuing students and skill development arena.Responsibilities and DutiesTraining Students on Python, Machine Learning, Deep LearningShould be able to go to colleges and develop the academic projects and simultaneously explaining also,willing to travel across AP & Telangana.Candidate with excellent communication skill and passion in teaching and technology only should apply.Needs to train for DDUGKY Candidates, beginners on Python and Machine Learning.Designing training program based on the needs of the organization.Must be presentable and smart and should have very good communication skills,Technical analytics skills.Key SkillsMachine Learning, Python, SQL, MongoDB, Deep learning, Spark, Big Data, numpy, pandas, Matplotlip,, Strong knowledge on ORM, R programming, DjangoRequired Experience and QualificationsMachine Learning : 0.6 -3 years (Preferred)Work: 0.6 - 3 years (Preferred)Total work: 0.6 - 3 years (Preferred)Salary : 1.2 lac p.a - 4 lac p.a .Job Type: Full-timeyou can contact immediately Sravani(HR): 7386697880.Job Type: Full-timeSalary: ₹18,708.00 - ₹86,977.00 per monthSchedule:Day shift4 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,4 days ago
11,Software Developer/Programmer,"Hyderabad, Telangana",BizAcumen Research Pvt. Ltd.,"₹30,000 - ₹1,00,000 a month","Urgently hiringWe are recruiting Programmers, Database experts, and Symfony Developers for the following full-time and part-time positions to work remotely from home for our Hyderabad office. BizAcumen Research Pvt. Ltd. (www.bizacumen.com) is a 15-year reputed back office support services firm based in Hyderabad.Positions will be filled on a first come basis. Apply online today at http://www.bizacumen.com/IT-JOBSFull-time & Part-time positions: Symfony - Coding & Bug Fixing; Tableau - Integration; FlipBoard - Content management and integrationPart-time positions: Databases - MongoDBRequired Technical Skills: Symfony 2.8, 4.x; PHP5/PHP7, Python; MySQL; SPA front-end development (UI MV* libraries like AngularJS or BackboneJS); HTML5/CSS3; MongoDB; RabbitMQ, Redis, AWS or ElasticsearchSoftware Specialized Graduates/Post Graduates are eligible to apply.Part-time hours: 50 per weekExpected Start Date: 1/2/2021Job Types: Full-time, Part-timeSalary: ₹30,000.00 - ₹100,000.00 per monthBenefits:Flexible scheduleWork from homeSchedule:Day shiftExperience:.Net: 1 year (Required)c++: 1 year (Required)total work: 1 year (Required)Java: 1 year (Required)Education:Bachelor's (Required)Work Remotely:Temporarily due to COVID-19Indeed14 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,https://in.indeed.com/rc/clk?jk=910aa96c05b6ca9c&from=vj&sjdu=KiS97pb7AnK5L9T-6xfydUfJuTzrc-4nGk1sn_hqduOUVAmCbrfXComwXcSjBWVJ&spon=1&adid=322006290&mvj=0&vjfrom=vjs&pos=bottom&ad=-6NYlbfkN0Cz8tCKjG0RZH_y5KilQpEt9RSwkHaFQxfNddZFL2ncGdbhoZanvnvW9c7lWEsOy4yjmmvVaNgN68Ya3b8CMmSJ4CHL_PAT8nXlW_NsrUh_r6a0DDLuoE6e307jBzIj9g1zcgTd_RfmEeXrXDCb9yDGV4daqjWWFAd-B0Gln3WloLNDurmwdi8X0gWj7GGbuILn5SAaLfF6h0pvM-gVaC3UcB7MiUrmfJMf36qUFxfjtD7_2TcQkwrycwPpmvTMXjhuxKmGh_y9XvUXqjniHNQ7b0pS8VKQMvivxJ1knpcmXaUzI3sf5-HWHlp05VWhdeKzPikC7JvXifddKwtRO4XhdlqgYogs7NkpNuhCjJF5vE1d95CGvt0S3Y04s-CvybTXcXRTi3J3u-m-eJb0mtpI9YNauiJ9sIY=&astse=5bad43091771feb5&assa=8555,14 days ago
12,Python Developer,Remote,Agiliti Techpartners LLP,"₹3,00,000 - ₹6,00,000 a year","Job SummaryWe are looking for a python developer with expertise in Django Web Framework, fastAPI, Linux, Postgresql & AWS. You will work on exciting projects that will test your skills to the limit.****About Us: We are a young start up based in Mysuru, developing and serving Saas platforms. Our clients are located worldwide. We are a team of technologists with over a decade of experience each. We have successfully developed from scratch and delivered several full stack Saas platforms. Our technology stack includes - Python, Django, Django Rest Framework, RDBMSs, NoSQLs, Linux, javascript, jQuery, ReactJS.You must be deeply experiences with one or more of the above technology stack.****Responsibilities and DutiesYou will design and develop RestFul services. You will primarily work with Django. But you may also work on other Python Web frameworks like Flask, fastAPI etc, as time goes by.****Required Experience, Skills and QualificationsAbility to write top quality, maintainable code.Strong analytical, reasoning, logical thinking.Excellent verbal and written communication skills.Strong grounding in Linux, Python & SQL.**REQUIRED: Start your application with: ""Django - The web framework for perfectionists with deadlines."".**NOTE: If you are fresh out of college, with no hands on experience developing web applications, then we suggest you apply to our internship position.Job Type: Full-timeSalary: ₹300,000.00 - ₹600,000.00 per yearBenefits:Flexible scheduleFood allowancePaid time offWork from homeSchedule:Day shiftSupplemental Pay:Performance bonusExperience:software development: 3 years (Required)Python: 3 years (Required)Work Remotely:Yes30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,30+ days ago
13,Python Developer,Remote,Infiniticube Services Pvt Ltd,None,"Python DeveloperJob DescriptionWe are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.Responsibilities*Writing reusable, testable, and efficient codeDesign and implementation of low-latency, high-availability, and performant applicationsIntegration of user-facing elements developed by front-end developers with server side logicImplementation of security and data protectionWork with DevOps on Azure & AWS**Skills And QualificationsExpert in Python, with knowledge of Django web frameworkMust have experience in MongoDB & MySQLMust have experience writing REST APIsFamiliarity with some ORM (Object Relational Mapper) librariesAble to integrate multiple data sources and databases into one systemUnderstanding of the threading limitations of Python, and multi-process architectureGood understanding of server-side templating languages such as Jinja 2, Mako, etcBasic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3Understanding of accessibility and security complianceKnowledge of user authentication and authorization between multiple systems, servers, and environmentsUnderstanding of fundamental design principles behind a scalable applicationFamiliarity with event-driven programming in PythonUnderstanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platformAble to create database schemas that represent and support business processesStrong unit test and debugging skillsProficient understanding of code versioning tools such as GitLabMust have a basic understanding of CI/CD*Job Type: Full-timeBenefits:Work from homeSchedule:Day shiftExperience:MongoDB: 1 year (Required)writing REST APIs: 1 year (Required)MySQL: 1 year (Required)Python: 3 years (Required)Work Remotely:Yes4 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,4 days ago
14,Python Junior Developer,India,FULLSTACK TECHIES,"₹5,00,000 - ₹10,00,000 a year","Experience: 0 to 3 YearsLocation: India40 hours in a week workSalary: 5 Lacs to 10 Lacs INRNo of Positions: 10 NosIndustry: IT-Software / Software ServicesFunctional Area: IT Software – Application Programming, MaintenanceRole Category: Programming & DesignRole: Software DeveloperEmployment Type: Permanent Job, Full TimeWe hire Python Junior Developers with proven track record and elite industry background through a rigorous set of comprehensive screening processes .SCREENING PROCESS:Python Junior DeveloperTechnical Screening : In-depth technical skill review, demonstrated end-to-end involvement in delivery, problem solving skills, analytical thinking, creativity, and shortlist exceptionally result oriented talents.Language & Personality Traits: Conduct internationally approved English language and analytical tests from Cambridge University and qualify candidates. These tests ensure that candidates are able to read, write, and speak English extremely well. Also, the test includes personality traits, and communication skills — one-on-one interview.Mock test cases or projects (Optional for Junior Positions): 2 weeks to 4 weeks of 40 hours of live / mock project is mandatory for candidates to qualify before deploying on a Customer live project. At this screening process, candidates need to demonstrate their in-depth technical competence, professionalism, and integrity.If you’re a Python Junior Developer and no longer wanted to work as a typical employee in the investor vested service industry – with exceptional technical skills – yes, you are in the right place and the right candidate to explore FULLSTACK TECHIES.KEY VALUE PROPOSITION:Python Junior DeveloperYou will be eligible for 2 to 3 times of your current salary/emoluments if you are a qualified FULLSTACK DEVELOPER20 hours per week / 40 hours per week work options available and can be remote position that can be done from anywhere in the world.FULLSTACK TECHIES serve growing companies – small, medium and large enterprises — across and world, and this role is crucial as a Python Junior Developer.JOB DESCRIPTION:Python Junior DeveloperWe are looking for Python Junior Developers– Python developers who will be trained to develop and support web applications. The main scope of the project will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. As a Python Junior Developer, your primary responsibilities will be support – design and develop, maintain and enhance applications. Therefore, it’s essential that – as a Python Junior Developer — you are trained at problem solving, solution design, logical thinking and high-quality coding.RESPONSIBILITIES:Python Junior Developer:Willing to learn and support in delivering high-quality applicationInvolve in integrating with front-end developersHelp writing test-backed server-side codeAnalyzing requirements and designing new functionalitySupporting and fixing existing functionalityInvolve in designing and building application layersPRIMARY SKILLS:Python Junior Developer – Trained OR Willing to learnPythonDjangoREACTNODEExpressPythonScriptHTMLCSSDatabase optimizationAWS – EC2, RDS, SES, S3Familiarity with Agile Methodology, Test-Driven Development and software design patternsREQUIREMENTS:Python Junior DeveloperPositive attitude and excellent communication skillsOutstanding written skillsYou must be comfortable with technology systems and FULLSTACK TECHIES internal toolsConsistent focus to make stake holders experience delightful with the help of your deliverable and FULLSTACK TECHIES value proposition.A solid grasp of solution-centered approach.Must be a well-organized, composed, self-motivated world-class individual contributor or thriving to become so.Collaborative in nature and ability to leverage FULLSTACK TECHIES coders, developers, SME’s, CoE’s and leadership team to deliver outstanding results to End-Customer.FULLSTACK Techies, a part of Outsourcing Service Provider Inc. USA, started its operations in 2012 and have successfully delivered IT transformation projects for small, medium and enterprise customers across the world. We focus on serving companies for their challenging key projects which require supreme attention. FULLSTACK TECHIES consists of the top 10% of IT developers all over the world. Technical talents including Digital IT, Software engineering, Design & Digital Marketing professionals. FULLSTACK TECHIES was created by a group of full stack techies. With entrepreneurial spirit and passion to serve growing companies, a group of highly-skilled and experienced techies joined their hands together.Outsource Bigdata27 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,https://in.indeed.com/rc/clk?jk=1f500cc1686d05c5&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=ceb61147c6b6c9ab&assa=6816,27 days ago
15,Python Developer Intern,Remote,RannLab Technologies,None,"ResponsibilitiesWrite effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutionsRequirementsWork experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsBSc in Computer Science, Engineering or relevant fieldMinimum Experience RequiredFor Freshers: 3 Months Training in Well Known Institute or Min 2 Months Work Experience or InternshipJob DesignationTrainee/InternSelection ProcessWritten Test/Online TestTechnical TaskTechnical InterviewHR InterviewAcademic RequirementsB.E / B. Tech, BCA, MCA in Computer Science, Engineering or a related field70% throughout AcademicsThe candidate did an Internship during his/her academicsThe candidate did a project during his/her academicsRemunerationStipends depend on the performanceBond: – Min 45 Working DaysJob Location: – Greater Noida/Noida/Work from HomeNotice Period: 7 Working DaysJob Category: DeveloperJob Type: InternJob Location: Work from HomeBond: YesJoining: ImmediateNotice Period: 7 Days30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,https://in.indeed.com/rc/clk?jk=44d301994651ed77&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=bdd52c0b31148ede&assa=9738,30+ days ago
16,Trainee - freshers - Internship - python-python Developer -...,"Bengaluru, Karnataka",Shri TirupatiI Balaji Education Foundation,"₹3,60,000 - ₹5,90,000 a year","Candidate need to be fresher.Must be graduate in any field.Online Internship in PythonDuration- 3-6 monthsBenefit - 6 months Internship Certificate + Training +JobCall- 8755903284, 73028162440.00-5.00 YearsBachelor Of Technology (B.Tech/B.E)Monster IN22 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,https://in.indeed.com/rc/clk?jk=24d0b8af9148ce96&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=9ded9a6fe8785359&assa=2257,22 days ago
17,Python Full Stack Developer,Remote,"Kaleidoscope Business Solutions, Inc","₹1,80,000 - ₹3,18,959 a year","Urgently hiringDo apply if you meet most of the following requirements :*2 + Years of experience in Python Full Stack Development/Programming Experience.Exposure/knowledge in at least one popular Python framework (like Django, Flask or Pyramid)SQL Databases - MariaDB/Postgresql/ TimeSeriesDBNoSQL Databases - MongoDB.Knowledge of search engine such as, Elasticsearch will be a plusKnowledge of In-memory database - Redis will be a plusFluency with a version control system - GitUnit testing & Code Coverage tools such as, PyTest & CoverageGood foundation in software design principles such as, OOP, DRY & SOLID will be a plusData Modeling experience / knowledge will be a plusKnowledge of Design Patterns, data structures, algorithms, and designing for performance, scalability, and availability will be a plusExperience with micro services architecture would be a plus.Familiarity with REST API and ORM (Object Relational Mapper) libraries.Able to integrate multiple data sources and databases into one system.Understanding of the threading limitations of Python, and multi-process architecture.Good understanding of server-side templating languages such as Jinja 2, Mako, etc.Good understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.Knowledge of user authentication and authorization between multiple systems, servers, and environments.Understanding of fundamental design principles behind a scalable application.Familiarity with event-driven programming in Python.Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform.Sharp problem solving skills and ability to resolve ambiguous requirements.Strong sense of ownership and drive.Excellent communication skills, both written and verbal.Ability to learn new technologies.Coordinate with internal teams to understand user requirements and provide technical solutions.Understanding of accessibility and security compliance.*Job Types: Full-time, Part-time, Regular / Permanent, Contractual / TemporarySalary: ₹180,000.00 - ₹318,959.00 per yearSupplemental Pay:Performance bonusYearly bonusCOVID-19 considerations:Remote Online Interviews3 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,Default Indeed Apply,3 days ago
18,Python/Django Developer,"Kochi, Kerala",Rawdata Technologies,"₹25,000 a month","Urgently hiringJob ResponsibilitiesImplement and maintain Django-based applicationsUse server-side logic to integrate user-facing elements.Write and implement software solutions that integrate different systems.Identify and suggest various opportunities to improve efficiency and functionality.Coordinating the workflow between the graphic designer, the HTML coder, and yourselfCreating self-contained, reusable, and testable modules and componentsContinuously discover, evaluate, and implement new technologies to maximize development efficiency.Unit-test code for robustness, including edge cases, usability, and general reliability.Mentor and lead junior developersRequired Skills3+ years of experience in software industryMinimum 2 year experience in PythonMinimum 2 Year experience in DjangoA good understanding of Django REST FrameworkBasic understanding of front end technologies like HTML, CSS, JavaScript and jQueryAbility to build user interfaces using the latest web standardsFamiliarity with event-driven programming in PythonAble to create database schemas that represent and support business processesStrong unit test and debugging skillsExperience working in LinuxExcellent problem solving skillsExcellent verbal and written communication skillsAbility to work well in a team development environmentExpected Start Date: 15/2/2021Job Type: Full-timeSalary: From ₹25,000.00 per monthBenefits:Life insuranceSchedule:Day shiftFlexible shiftSupplemental Pay:Yearly bonusExperience:total: 3 years (Required)Python/Django: 3 years (Required)Education:Bachelor's (Preferred)Work Remotely:Temporarily due to COVID-193 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,Default Indeed Apply,3 days ago
19,Python/Django Developer,"Kurnool, Andhra Pradesh",Python Developer,"₹15,000 - ₹25,000 a month","Job SummaryPublished on : 14 days agoVacancy : 8Employment Status : Full TimeExperience : 0 - 2 YrsSalary : 15000-25000Interview Venue : KURNOOL#Job DescriptionDjango/flask framework project development experience.Create functions for data calculation (arithmetic functions with conditions)Engage and be actively involved in customer requirementsPerform assigned daily tasks and respond immediately to issues/problemsInvolve in unit/integration testing frameworks and practicesDesign, Implement and Interacting with databasesMaintain and troubleshoot complex systemsWork in SCRUM / Agile environmentJob Type: Full-timeBenefits:Flexible schedulePaid sick timePaid time offSchedule:Day shiftExperience:work: 0-2 year (Preferred)Python: 0-2 year (Preferred)WHATSAPP YOUR CV ON 72-S2-98-32-63 HR TEAMSkillsDjango framework , Python Scripting , Odoo Development , PostgreSQL , Python ,QualificationsMaster in Software EngineeringJobsOmega30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,https://in.indeed.com/rc/clk?jk=a0eb558ba11d61a2&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=00ff0e7fc0073a82&assa=6654,30+ days ago
